stage,batch,target,book,chapter,reference,survived,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,source_summary
chapter_confirmation_l40,03,chapter_act_03,Acts,3,Acts 3,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_04,Acts,4,Acts 4,no,0.4,0.4,0.0,0.4,0.4,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_06,Acts,6,Acts 6,no,0.4,0.4,0.0,0.375,0.4,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_07,Acts,7,Acts 7,yes,0.4,0.425,0.025,0.375,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_08,Acts,8,Acts 8,no,0.4,0.4,0.0,0.375,0.4,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_10,Acts,10,Acts 10,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_11,Acts,11,Acts 11,yes,0.4,0.425,0.025,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_14,Acts,14,Acts 14,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_16,Acts,16,Acts 16,yes,0.4,0.425,0.025,0.375,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,03,chapter_act_24,Acts,24,Acts 24,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch03_v1_summary.json
chapter_confirmation_l40,04,chapter_act_27,Acts,27,Acts 27,yes,0.4,0.425,0.025,0.375,0.375,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_act_28,Acts,28,Acts 28,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_01,Hebrews,1,Hebrews 1,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_02,Hebrews,2,Hebrews 2,yes,0.4,0.45,0.05,0.4,0.425,2 chg / +2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_05,Hebrews,5,Hebrews 5,no,0.4,0.4,0.0,0.425,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_07,Hebrews,7,Hebrews 7,yes,0.4,0.425,0.025,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_09,Hebrews,9,Hebrews 9,yes,0.4,0.425,0.025,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
chapter_confirmation_l40,04,chapter_heb_10,Hebrews,10,Hebrews 10,yes,0.4,0.425,0.025,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch04_v1_summary.json
